,state,participation,score,high_participation,year,test
195,virginia,0.65,1102.0,False,2017,SAT
196,washington,0.64,1075.0,False,2017,SAT
197,west virginia,0.14,1086.0,False,2017,SAT
198,wisconsin,0.03,1291.0,False,2017,SAT
199,wyoming,0.03,1230.0,False,2017,SAT
200,alabama,0.06,1166.0,False,2018,SAT
201,alaska,0.43,1106.0,False,2018,SAT
202,arizona,0.29,1149.0,False,2018,SAT
203,arkansas,0.05,1169.0,False,2018,SAT
204,california,0.6,1076.0,False,2018,SAT
205,colorado,1.0,1025.0,True,2018,SAT
206,connecticut,1.0,1053.0,True,2018,SAT
207,delaware,1.0,998.0,True,2018,SAT
208,florida,0.56,1099.0,False,2018,SAT
209,georgia,0.7,1064.0,False,2018,SAT
210,hawaii,0.56,1010.0,False,2018,SAT
211,idaho,1.0,1001.0,True,2018,SAT
212,illinois,0.99,1019.0,True,2018,SAT
213,indiana,0.63,1074.0,False,2018,SAT
214,iowa,0.03,1265.0,False,2018,SAT
215,kansas,0.04,1265.0,False,2018,SAT
216,kentucky,0.04,1248.0,False,2018,SAT
217,louisiana,0.04,1210.0,False,2018,SAT
218,maine,0.99,1013.0,True,2018,SAT
219,maryland,0.76,1080.0,False,2018,SAT
220,massachusetts,0.8,1125.0,False,2018,SAT
221,michigan,1.0,1011.0,True,2018,SAT
222,minnesota,0.04,1298.0,False,2018,SAT
223,mississippi,0.03,1236.0,False,2018,SAT
224,missouri,0.04,1262.0,False,2018,SAT
225,montana,0.1,1198.0,False,2018,SAT
226,nebraska,0.03,1252.0,False,2018,SAT
227,nevada,0.23,1140.0,False,2018,SAT
228,new hampshire,0.96,1063.0,True,2018,SAT
229,new jersey,0.82,1094.0,False,2018,SAT
230,new mexico,0.16,1093.0,False,2018,SAT
231,new york,0.79,1068.0,False,2018,SAT
232,north carolina,0.52,1098.0,False,2018,SAT
233,north dakota,0.02,1283.0,False,2018,SAT
234,oklahoma,0.08,1062.0,False,2018,SAT
235,ohio,0.18,1099.0,False,2018,SAT
236,oregon,0.48,1117.0,False,2018,SAT
237,pennsylvania,0.7,1086.0,False,2018,SAT
238,rhode island,0.97,1018.0,True,2018,SAT
239,south carolina,0.55,1070.0,False,2018,SAT
240,south dakota,0.03,1240.0,False,2018,SAT
241,tennessee,0.06,1231.0,False,2018,SAT
242,texas,0.66,1032.0,False,2018,SAT
243,utah,0.04,1010.0,False,2018,SAT
244,vermont,0.64,1120.0,False,2018,SAT
245,virginia,0.68,1117.0,False,2018,SAT
246,washington,0.69,1081.0,False,2018,SAT
247,west virginia,0.28,999.0,False,2018,SAT
248,wisconsin,0.03,1294.0,False,2018,SAT
249,wyoming,0.03,1257.0,False,2018,SAT
250,alabama,0.07,1143.0,False,2019,SAT
251,alaska,0.41,1097.0,False,2019,SAT
252,arizona,0.31,1134.0,False,2019,SAT
253,arkansas,0.06,1141.0,False,2019,SAT
254,california,0.63,1065.0,False,2019,SAT
255,colorado,1.0,1024.0,True,2019,SAT
256,connecticut,1.0,1046.0,True,2019,SAT
257,delaware,1.0,985.0,True,2019,SAT
258,florida,1.0,999.0,True,2019,SAT
259,georgia,0.71,1058.0,False,2019,SAT
260,hawaii,0.54,1100.0,False,2019,SAT
261,idaho,1.0,993.0,True,2019,SAT
262,illinois,1.0,1013.0,True,2019,SAT
263,indiana,0.66,1080.0,False,2019,SAT
264,iowa,0.03,1244.0,False,2019,SAT
265,kansas,0.04,1241.0,False,2019,SAT
266,kentucky,0.04,1232.0,False,2019,SAT
267,louisiana,0.05,1200.0,False,2019,SAT
268,maine,0.99,1013.0,True,2019,SAT
269,maryland,0.82,1058.0,False,2019,SAT
270,massachusetts,0.81,1120.0,False,2019,SAT
271,michigan,1.0,1003.0,True,2019,SAT
272,minnesota,0.04,1284.0,False,2019,SAT
273,mississippi,0.03,1237.0,False,2019,SAT
274,missouri,0.04,1236.0,False,2019,SAT
275,montana,0.09,1199.0,False,2019,SAT
276,nebraska,0.03,1260.0,False,2019,SAT
277,nevada,0.2,1156.0,False,2019,SAT
278,new hampshire,0.95,1059.0,True,2019,SAT
279,new jersey,0.82,1090.0,False,2019,SAT
280,new mexico,0.18,1073.0,False,2019,SAT
281,new york,0.79,1064.0,False,2019,SAT
282,north carolina,0.51,1100.0,False,2019,SAT
283,north dakota,0.02,1263.0,False,2019,SAT
284,ohio,0.19,1097.0,False,2019,SAT
285,oklahoma,0.22,963.0,False,2019,SAT
286,oregon,0.51,1112.0,False,2019,SAT
287,pennsylvania,0.7,1082.0,False,2019,SAT
288,rhode island,1.0,995.0,True,2019,SAT
289,south carolina,0.68,1030.0,False,2019,SAT
290,south dakota,0.03,1268.0,False,2019,SAT
291,tennessee,0.07,1220.0,False,2019,SAT
292,texas,0.68,1022.0,False,2019,SAT
293,utah,0.04,1230.0,False,2019,SAT
294,vermont,0.66,1106.0,False,2019,SAT
295,virginia,0.68,1119.0,False,2019,SAT
296,washington,0.7,1074.0,False,2019,SAT
297,west virginia,0.99,943.0,True,2019,SAT
298,wisconsin,0.03,1283.0,False,2019,SAT
299,wyoming,0.03,1238.0,False,2019,SAT
