iter	Passed	Remaining
591	51391	35418
592	51468	35324
593	51544	35230
594	51620	35136
595	51700	35045
596	51791	34961
597	51873	34871
598	51957	34782
599	52036	34691
600	52123	34604
601	52205	34514
602	52287	34424
603	52374	34338
604	52455	34247
605	52534	34156
606	52619	34068
607	52699	33977
608	52784	33889
609	52862	33797
610	52942	33706
611	53020	33614
612	53101	33524
613	53180	33432
614	53255	33338
615	53337	33249
616	53416	33157
617	53492	33064
618	53571	32973
619	53656	32886
620	53750	32803
621	53831	32714
622	53913	32624
623	53994	32534
624	54075	32445
625	54154	32354
626	54240	32267
627	54322	32178
628	54406	32090
629	54488	32001
630	54573	31913
631	54654	31823
632	54740	31737
633	54821	31647
634	54899	31556
635	54978	31465
636	55055	31373
637	55132	31282
638	55210	31191
639	55287	31099
640	55362	31006
641	55442	30916
642	55522	30826
643	55604	30737
644	55691	30652
645	55780	30567
646	55863	30478
647	55951	30393
648	56035	30305
649	56118	30217
650	56195	30126
651	56272	30034
652	56357	29948
653	56445	29862
654	56526	29773
655	56605	29683
656	56687	29594
657	56776	29509
658	56853	29418
659	56931	29328
660	57009	29237
661	57089	29148
662	57176	29062
663	57260	28974
664	57337	28884
665	57414	28793
666	57489	28701
667	57572	28613
668	57652	28524
669	57740	28439
670	57824	28352
671	57907	28264
672	57993	28177
673	58076	28090
674	58160	28003
675	58241	27914
676	58322	27826
677	58406	27738
678	58488	27650
679	58566	27560
680	58657	27476
681	58742	27390
682	58818	27299
683	58897	27210
684	58979	27121
685	59056	27031
686	59134	26941
687	59215	26853
688	59292	26763
689	59367	26672
690	59447	26583
691	59528	26495
692	59607	26406
693	59693	26320
694	59779	26234
695	59863	26147
696	59953	26062
697	60034	25974
698	60115	25886
699	60197	25798
700	60279	25711
701	60353	25620
702	60441	25534
703	60528	25449
704	60608	25361
705	60689	25273
706	60777	25187
707	60851	25097
708	60927	25006
709	61006	24917
710	61085	24829
711	61162	24739
712	61254	24656
713	61331	24566
714	61408	24477
715	61486	24388
716	61567	24300
717	61649	24213
718	61736	24127
719	61815	24039
720	61894	23950
721	61974	23862
722	62066	23779
723	62147	23691
724	62235	23606
725	62316	23518
726	62403	23433
727	62484	23345
728	62564	23257
729	62647	23171
730	62731	23084
731	62811	22996
732	62890	22908
733	62969	22819
734	63048	22731
735	63127	22643
736	63203	22554
737	63281	22465
738	63360	22377
739	63440	22289
740	63517	22201
741	63596	22113
742	63679	22026
743	63765	21940
744	63844	21852
745	63923	21764
746	64006	21678
747	64106	21597
748	64190	21511
749	64268	21422
750	64358	21338
751	64435	21249
752	64517	21163
753	64599	21076
754	64681	20989
755	64769	20904
756	64844	20815
757	64923	20727
758	65003	20640
759	65084	20553
760	65164	20465
761	65248	20379
762	65330	20292
763	65420	20208
764	65513	20125
765	65593	20037
766	65679	19952
767	65777	19870
768	65865	19785
769	65947	19698
770	66029	19611
771	66115	19526
772	66196	19439
773	66276	19351
774	66364	19267
775	66449	19181
776	66530	19094
777	66610	19006
778	66702	18923
779	66776	18834
780	66854	18746
781	66930	18658
782	67012	18571
783	67091	18484
784	67169	18396
785	67248	18309
786	67321	18220
787	67396	18132
788	67478	18045
789	67554	17957
790	67630	17869
791	67718	17784
792	67798	17697
793	67874	17609
794	67954	17522
795	68036	17436
796	68116	17349
797	68198	17263
798	68285	17178
799	68368	17092
800	68448	17005
801	68534	16919
802	68613	16832
803	68703	16748
804	68781	16661
805	68857	16573
806	68938	16487
807	69017	16400
808	69096	16313
809	69176	16226
810	69251	16138
811	69330	16051
812	69410	15965
813	69482	15876
814	69562	15790
815	69640	15703
816	69731	15619
817	69818	15534
818	69898	15447
819	69976	15360
820	70057	15274
821	70140	15188
822	70229	15104
823	70310	15017
824	70387	14930
825	70473	14845
826	70553	14759
827	70635	14673
828	70719	14587
829	70795	14500
830	70875	14413
831	70954	14327
832	71031	14240
833	71103	14152
834	71177	14064
835	71262	13979
836	71343	13893
837	71438	13810
838	71512	13722
839	71592	13636
840	71675	13551
841	71761	13466
842	71843	13380
843	71920	13293
844	72007	13208
845	72089	13122
846	72170	13036
847	72249	12950
848	72326	12863
849	72412	12778
850	72495	12693
851	72574	12606
852	72655	12521
853	72740	12435
854	72817	12349
855	72890	12261
856	72971	12176
857	73049	12089
858	73130	12004
859	73212	11918
860	73290	11832
861	73373	11746
862	73457	11661
863	73530	11574
864	73616	11489
865	73714	11406
866	73800	11321
867	73885	11236
868	73964	11149
869	74060	11066
870	74141	10980
871	74222	10895
872	74304	10809
873	74386	10723
874	74469	10638
875	74556	10553
876	74634	10467
877	74718	10382
878	74796	10296
879	74874	10210
880	74950	10123
881	75029	10037
882	75106	9951
883	75186	9866
884	75266	9780
885	75346	9694
886	75424	9608
887	75502	9522
888	75578	9436
889	75659	9351
890	75748	9266
891	75836	9182
892	75920	9096
893	76004	9011
894	76089	8926
895	76168	8841
896	76250	8755
897	76334	8670
898	76413	8584
899	76497	8499
900	76579	8414
901	76661	8329
902	76746	8244
903	76825	8158
904	76897	8072
905	76973	7986
906	77050	7900
907	77129	7814
908	77206	7729
909	77289	7643
910	77363	7558
911	77443	7472
912	77524	7387
913	77609	7302
914	77696	7217
915	77774	7132
916	77853	7046
917	77939	6961
918	78020	6876
919	78106	6791
920	78186	6706
921	78275	6621
922	78358	6536
923	78443	6452
924	78527	6367
925	78605	6281
926	78691	6196
927	78768	6111
928	78844	6025
929	78922	5940
930	78999	5854
931	79079	5769
932	79158	5684
933	79238	5599
934	79317	5514
935	79396	5428
936	79481	5344
937	79560	5258
938	79653	5174
939	79752	5090
940	79857	5006
941	79930	4921
942	80011	4836
943	80088	4751
944	80168	4665
945	80248	4580
946	80338	4496
947	80418	4411
948	80499	4326
949	80582	4241
950	80671	4156
951	80748	4071
952	80821	3985
953	80896	3900
954	80972	3815
955	81047	3730
956	81125	3645
957	81207	3560
958	81295	3475
959	81375	3390
960	81454	3305
961	81533	3220
962	81609	3135
963	81706	3051
964	81782	2966
965	81873	2881
966	81958	2796
967	82038	2712
968	82130	2627
969	82225	2543
970	82320	2458
971	82400	2373
972	82490	2289
973	82571	2204
974	82651	2119
975	82734	2034
976	82814	1949
977	82891	1864
978	82968	1779
979	83048	1694
980	83133	1610
981	83208	1525
982	83292	1440
983	83373	1355
984	83472	1271
985	83555	1186
986	83674	1102
987	83764	1017
988	83853	932
989	83934	847
990	84023	763
991	84102	678
992	84196	593
993	84295	508
994	84387	424
995	84474	339
996	84555	254
997	84650	169
998	84734	84
999	84817	0
